
#=============================================================
#  JobUsageRecords for the Probes with ridiculous efficiency 
#  Start: Sat Sep 14 21:11:55 CDT 2013
#  Probe: condor:osg-xsede.grid.iu.edu
#=============================================================

mysql --table --unbuffered --host=gr-osg-mysql-reports.opensciencegrid.org --port=3306 -u reader -preader gratia
   SELECT
      jur.dbid as dbid
     ,CpuSystemDuration 
     ,CpuUserDuration
     ,WallDuration
     ,Processors
     ,(WallDuration * IFNULL(Processors,1)) as Wall_w_Cores
     ,round((CpuSystemDuration + CpuUserDuration)/(WallDuration * IFNULL(Processors,1)) * 100,0) as Efficiency
   FROM
      JobUsageRecord_Meta meta
     ,JobUsageRecord jur
   WHERE
    meta.ProbeName = "condor:osg-xsede.grid.iu.edu"
AND meta.ServerDate >= "2013-06-01"
-- AND meta.ServerDate <  "2013-09-15"
AND meta.dbid = jur.dbid
AND jur.EndTime >= "2013-06-01"
AND jur.EndTime < "2013-09-15"
AND (CpuSystemDuration + CpuUserDuration)/(WallDuration * IFNULL(Processors,1)) * 100 > 2500

   order by
     dbid
;

+------------+-------------------+-----------------+--------------+------------+--------------+------------+
| dbid       | CpuSystemDuration | CpuUserDuration | WallDuration | Processors | Wall_w_Cores | Efficiency |
+------------+-------------------+-----------------+--------------+------------+--------------+------------+
| 1089279874 |        2147483648 |           23919 |        35292 |       NULL |        35292 |    6084970 | 
| 1089299253 |        2147483648 |             554 |         1091 |       NULL |         1091 |  196836315 | 
| 1089352046 |        2147483648 |            1002 |         1899 |       NULL |         1899 |  113085026 | 
| 1090814001 |        2147483648 |            6905 |        19409 |       NULL |        19409 |   11064406 | 
| 1090822335 |        2147483648 |            7503 |        13388 |       NULL |        13388 |   16040418 | 
| 1090905196 |        2147483648 |             601 |         1800 |       NULL |         1800 |  119304680 | 
| 1091059386 |        2147483648 |           21496 |        23837 |       NULL |        23837 |    9009125 | 
| 1091189020 |        2147483648 |             132 |         1421 |       NULL |         1421 |  151124826 | 
| 1091551775 |        2147483648 |           11714 |        15388 |       NULL |        15388 |   13955650 | 
| 1091786891 |        2147483648 |            6542 |         9341 |       NULL |         9341 |   22989939 | 
| 1092004288 |        2147483648 |           15664 |        23280 |       NULL |        23280 |    9224653 | 
| 1092765629 |        2147483648 |             467 |         1916 |       NULL |         1916 |  112081634 | 
| 1092839745 |        2147483648 |             951 |         1679 |       NULL |         1679 |  127902597 | 
| 1092872286 |        2147483648 |             373 |         1257 |       NULL |         1257 |  170842006 | 
| 1092964782 |        2147483648 |            3347 |         6939 |       NULL |         6939 |   30948076 | 
| 1093083699 |        2147483648 |            1447 |         2367 |       NULL |         2367 |   90726029 | 
| 1094762718 |        2147483648 |            2500 |         3780 |       NULL |         3780 |   56811803 | 
| 1094920789 |        2147483648 |             626 |         1290 |       NULL |         1290 |  166471649 | 
| 1095277845 |        2147483648 |            6050 |         8692 |       NULL |         8692 |   24706508 | 
| 1095782959 |        2147483648 |           15225 |        17468 |       NULL |        17468 |   12293902 | 
| 1095922531 |        2147483648 |             519 |         2486 |       NULL |         2486 |   86383112 | 
| 1096239592 |        2147483648 |             771 |         2825 |       NULL |         2825 |   76017148 | 
| 1096240402 |        2147483648 |             789 |         3199 |       NULL |         3199 |   67129867 | 
| 1096568213 |        2147483648 |             255 |         2104 |       NULL |         2104 |  102066725 | 
| 1096922397 |        2147483648 |            1940 |         2747 |       NULL |         2747 |   78175668 | 
| 1097712537 |        2147483648 |            1324 |         2377 |       NULL |         2377 |   90344340 | 
| 1098223882 |        2147483648 |           21843 |        25282 |       NULL |        25282 |    8494207 | 
| 1098241095 |        2147483648 |            1716 |         2739 |       NULL |         2739 |   78403993 | 
| 1099554482 |        2147483648 |           29422 |        32641 |       NULL |        32641 |    6579189 | 
| 1099762847 |        2147483648 |            3011 |         8784 |       NULL |         8784 |   24447708 | 
| 1100150800 |        2147483648 |            2645 |         3757 |       NULL |         3757 |   57159603 | 
| 1117278488 |        2147483648 |            1323 |         3668 |       NULL |         3668 |   58546482 | 
| 1117358679 |        2147483648 |            8825 |        10910 |       NULL |        10910 |   19683707 | 
| 1117378513 |        2147483648 |           14628 |        18115 |       NULL |        18115 |   11854807 | 
| 1118976814 |        2147483648 |            1130 |         3684 |       NULL |         3684 |   58292204 | 
| 1122309305 |        2147483648 |            2678 |         6200 |       NULL |         6200 |   34636876 | 
| 1122314091 |        2147483648 |            4005 |         6538 |       NULL |         6538 |   32846247 | 
| 1122347621 |        2147483648 |            2728 |         5328 |       NULL |         5328 |   40305675 | 
| 1122396418 |        2147483648 |            1433 |         4192 |       NULL |         4192 |   51228175 | 
| 1122538410 |        2147483648 |            2281 |         4729 |       NULL |         4729 |   45410994 | 
| 1122540399 |        2147483648 |            2724 |         4781 |       NULL |         4781 |   44917096 | 
| 1122598890 |        2147483648 |            2369 |         4574 |       NULL |         4574 |   46949847 | 
| 1122731208 |        2147483648 |            2690 |        11537 |       NULL |        11537 |   18613906 | 
| 1122731506 |        2147483648 |            2438 |         7039 |       NULL |         7039 |   30508397 | 
| 1122889854 |        2147483648 |            1699 |        10533 |       NULL |        10533 |   20388164 | 
| 1122912100 |        2147483648 |            1583 |         6099 |       NULL |         6099 |   35210448 | 
| 1122969684 |        2147483648 |            2306 |        13336 |       NULL |        13336 |   16102924 | 
| 1122983988 |        2147483648 |            3118 |         5712 |       NULL |         5712 |   37596057 | 
| 1122984250 |        2147483648 |            2910 |         5524 |       NULL |         5524 |   38875571 | 
| 1123741836 |        2147483648 |            1137 |         4804 |       NULL |         4804 |   44702015 | 
| 1124616022 |        2147483648 |            1244 |         3015 |       NULL |         3015 |   71226696 | 
| 1124705917 |        2147483648 |            2986 |         4889 |       NULL |         4889 |   43924865 | 
| 1124750274 |        2147483648 |            1646 |         3758 |       NULL |         3758 |   57144367 | 
| 1124770474 |        2147483648 |            2284 |         4400 |       NULL |         4400 |   48806498 | 
| 1124956769 |        2147483648 |            1750 |         4039 |       NULL |         4039 |   53168740 | 
| 1125019152 |        2147483648 |             951 |         3336 |       NULL |         3336 |   64373040 | 
| 1125231561 |        2147483648 |            2943 |         7205 |       NULL |         7205 |   29805504 | 
| 1125233570 |        2147483648 |            2806 |         7083 |       NULL |         7083 |   30318883 | 
| 1125286549 |        2147483648 |            4767 |         6862 |       NULL |         6862 |   31295372 | 
