
#=============================================================
#  JobUsageRecords for the Probes with ridiculous efficiency 
#  Start: Sat Sep 14 20:43:52 CDT 2013
#  Probe: pbs:ce.grid.unesp.br
#=============================================================

mysql --table --unbuffered --host=gr-osg-mysql-reports.opensciencegrid.org --port=3306 -u reader -preader gratia
   SELECT
      jur.dbid as dbid
     ,CpuSystemDuration 
     ,CpuUserDuration
     ,WallDuration
     ,Processors
     ,(WallDuration * IFNULL(Processors,1)) as Wall_w_Cores
     ,round((CpuSystemDuration + CpuUserDuration)/(WallDuration * IFNULL(Processors,1)) * 100,0) as Efficiency
   FROM
      JobUsageRecord_Meta meta
     ,JobUsageRecord jur
   WHERE
    meta.ProbeName = "pbs:ce.grid.unesp.br"
AND meta.ServerDate >= "2013-06-01"
-- AND meta.ServerDate <  "2013-09-15"
AND meta.dbid = jur.dbid
AND jur.EndTime >= "2013-06-01"
AND jur.EndTime < "2013-09-15"
AND (CpuSystemDuration + CpuUserDuration)/(WallDuration * IFNULL(Processors,1)) * 100 > 2500

   order by
     dbid
;

+------------+-------------------+-----------------+--------------+------------+--------------+------------+
| dbid       | CpuSystemDuration | CpuUserDuration | WallDuration | Processors | Wall_w_Cores | Efficiency |
+------------+-------------------+-----------------+--------------+------------+--------------+------------+
| 1065572094 |                 0 |     18453590624 |      1103322 |          1 |      1103322 |    1672548 | 
| 1067713085 |                 0 |     18451036617 |       537678 |          1 |       537678 |    3431615 | 
| 1068025648 |                 0 |     18451287376 |       569093 |          1 |       569093 |    3242227 | 
| 1069159270 |                 0 |     18462422388 |      2080010 |          1 |      2080010 |     887612 | 
| 1070953249 |                 0 |     18452843034 |       764239 |          1 |       764239 |    2414538 | 
| 1071412053 |                 0 |     18453052798 |       790490 |          1 |       790490 |    2334382 | 
| 1072853771 |                 0 |     18454555079 |       978799 |          1 |       978799 |    1885428 | 
| 1072853990 |                 0 |     18454552953 |       978796 |          1 |       978796 |    1885434 | 
| 1072853999 |                 0 |     18453864551 |       892362 |          1 |       892362 |    2067980 | 
| 1072854002 |                 0 |     18454557370 |       978800 |          1 |       978800 |    1885427 | 
| 1072854014 |                 0 |     18454555055 |       978811 |          1 |       978811 |    1885405 | 
| 1072854018 |                 0 |     18454555997 |       978810 |          1 |       978810 |    1885407 | 
| 1072854060 |                 0 |     18453865026 |       892322 |          1 |       892322 |    2068072 | 
| 1072854064 |                 0 |     18454553249 |       978508 |          1 |       978508 |    1885989 | 
| 1072854065 |                 0 |     18454556348 |       978711 |          1 |       978711 |    1885598 | 
| 1079631751 |                 0 |     18453325514 |       941640 |          1 |       941640 |    1959701 | 
| 1081090795 |                 0 |     18452191501 |       683822 |          1 |       683822 |    2698391 | 
| 1082625746 |                 0 |     18453258670 |       870786 |          1 |       870786 |    2119150 | 
| 1085614460 |                 0 |     18455326985 |      2069768 |          1 |      2069768 |     891662 | 
| 1085614789 |                 0 |     18709004025 |      1115878 |          1 |      1115878 |    1676617 | 
| 1085614792 |                 0 |     18455618037 |      1118892 |          1 |      1118892 |    1649455 | 
| 1085726434 |                 0 |     18456894261 |      1292369 |          1 |      1292369 |    1428144 | 
| 1085726440 |                 0 |     18455319348 |      1264657 |          1 |      1264657 |    1459314 | 
| 1085726452 |                 0 |     18455320058 |      1217616 |          1 |      1217616 |    1515693 | 
| 1089045574 |                 0 |     18451696861 |       661185 |          1 |       661185 |    2790701 | 
| 1089071150 |                 0 |     36905978150 |      1615911 |          1 |      1615911 |    2283912 | 
| 1089126142 |                 0 |     18453967429 |      1008376 |          1 |      1008376 |    1830068 | 
| 1089985850 |                 0 |     18455046031 |      1142087 |          1 |      1142087 |    1615905 | 
| 1090509180 |                 0 |     18451232817 |       601355 |          1 |       601355 |    3068276 | 
| 1090619042 |                 0 |     18451335241 |       626130 |          1 |       626130 |    2946886 | 
| 1090701369 |                 0 |     18453598651 |       917526 |          1 |       917526 |    2011234 | 
| 1091209805 |                 0 |     18451838052 |       700428 |          1 |       700428 |    2634366 | 
| 1091269345 |                 0 |     18452244615 |       728931 |          1 |       728931 |    2531412 | 
| 1091833826 |                 0 |     18451149741 |       552330 |          1 |       552330 |    3340602 | 
| 1092587428 |                 0 |     18453503982 |       892007 |          1 |       892007 |    2068762 | 
| 1092825965 |                 0 |     18452517911 |       723924 |          1 |       723924 |    2548958 | 
| 1092998419 |                 0 |     18452768156 |       755289 |          1 |       755289 |    2443140 | 
| 1093099127 |                 0 |     18452112452 |      1035688 |          1 |      1035688 |    1781628 | 
| 1093100593 |                 0 |     18453615413 |      1036286 |          1 |      1036286 |    1780745 | 
| 1093199286 |                 0 |     18463492602 |      2102903 |          1 |      2102903 |     878000 | 
| 1094437962 |                 0 |     18455181863 |      1092509 |          1 |      1092509 |    1689248 | 
| 1095217869 |                 0 |     18460624510 |      1745402 |          1 |      1745402 |    1057672 | 
| 1095647586 |                 0 |     18456830767 |      1262047 |          1 |      1262047 |    1462452 | 
| 1095852709 |                 0 |     18455095893 |      1048424 |          1 |      1048424 |    1760270 | 
| 1097989206 |                 0 |     18454893692 |      1139714 |          1 |      1139714 |    1619257 | 
| 1097989303 |                 0 |     18451952188 |       729406 |          1 |       729406 |    2529723 | 
| 1097991285 |                 0 |     18458169596 |      1460637 |          1 |      1460637 |    1263707 | 
| 1097991856 |                 0 |     18453321856 |       947614 |          1 |       947614 |    1947346 | 
| 1098020856 |                 0 |     22597041846 |      1795983 |          1 |      1795983 |    1258199 | 
| 1098024770 |                 0 |     18454506294 |      1095611 |          1 |      1095611 |    1684403 | 
| 1098024807 |                 0 |     25185578293 |      2067572 |          1 |      2067572 |    1218123 | 
| 1098025906 |                 0 |     18454520349 |      1093311 |          1 |      1093311 |    1687948 | 
| 1098025992 |                 0 |     18460047265 |      1848534 |          1 |      1848534 |     998632 | 
| 1098028266 |                 0 |     18455324850 |      1837650 |          1 |      1837650 |    1004289 | 
| 1098028953 |                 0 |     18452866250 |       866183 |          1 |       866183 |    2130366 | 
| 1098030496 |                 0 |     18452876879 |       866471 |          1 |       866471 |    2129659 | 
| 1098030837 |                 0 |     18452884029 |       866471 |          1 |       866471 |    2129660 | 
| 1098031004 |                 0 |     18453508069 |       955469 |          1 |       955469 |    1931356 | 
| 1098031385 |                 0 |     18452902918 |       866474 |          1 |       866474 |    2129655 | 
| 1106286257 |                 0 |     18451116221 |       549798 |          1 |       549798 |    3355981 | 
| 1107266806 |                 0 |     18454747737 |      1036546 |          1 |      1036546 |    1780408 | 
| 1107328910 |                 0 |     18454889136 |      1046509 |          1 |      1046509 |    1763472 | 
| 1108184065 |                 0 |     18455633588 |      1138992 |          1 |      1138992 |    1620348 | 
| 1108565891 |                 0 |     18455896036 |      1183653 |          1 |      1183653 |    1559232 | 
| 1108757635 |                 0 |     18456120980 |      1196559 |          1 |      1196559 |    1542433 | 
| 1108921464 |                 0 |     29856329306 |      1546658 |          1 |      1546658 |    1930377 | 
